name,wins,losses,total_strikes,avg_sig_str,avg_sig_str_att,sig_str_accuracy,avg_td,avg_td_att,td_accuracy,avg_sub_att,avg_ctrl_time,total_kd,avg_fight_duration,weight_class_numeric,experience_diff,age_difference,r_odds,b_odds
Aalon Cruz,0,1,2,2,12,0.17,0,1,0,NA,NA,0,85,145,0,4,-190,165
Aaron Phillips,0,2,678,28,47,0.6,0,0.5,0,1,68,0,300,135,3,3.5,2.5,-12.5
Aaron Riley,1,2,161,27.67,108.33,0.26,1,2.67,0.38,0,153,0,300,155,5,2.33,-106.67,80
Aaron Rosa,1,2,814,44,96.67,0.46,0,0.33,0,0,56,0,171.33,205,1.67,2,-116.67,96.67
Aaron Simpson,3,4,1066,47.71,87,0.55,3.43,9.57,0.36,0.7,701.3,8,255.14,170,1.43,6.57,15,-39.29
Aaron Wilkinson,0,1,0,0,1,0,1,1,1,NA,NA,0,123,155,1,1,-110,-110
Abdul Razak Alhassan,3,1,113,24.5,53.5,0.46,0.25,0.75,0.33,0,71,3,207.75,170,2.25,3,-12.25,-66.25
Abdul-Kerim Edilov,1,0,150,77,125,0.62,2,2,1,NA,NA,0,152,205,2,11,485,-670
Abel Trujillo,6,4,313,22.3,53.9,0.41,1.4,3.2,0.44,0.58,217,3,199.4,155,2.5,1.9,-83,59
Abner Lloveras,0,1,99,94,189,0.5,2,10,0.2,NA,NA,0,300,155,0,4,-145,125
Abu Azaitar,1,0,135,48,128,0.38,1,1,1,NA,NA,0,300,185,4,7,175,-210
Abubakar Nurmagomedov,0,1,22,4,9,0.44,1,1,1,NA,NA,0,170,170,1,1,-265,225
Adam Cella,0,1,4,2,12,0.17,0,0,NA,NA,NA,0,191,185,1,3,-240,220
Adam Milstead,1,2,306,42,90,0.47,0,0,NA,0,10,0,240,205,0.33,3.33,-40,-61.67
Adam Wieczorek,2,1,118,20.67,53.33,0.39,0.33,1,0.33,0.5,200.5,0,239.67,265,0.67,7.33,-113.33,80
Adam Yandiev,0,1,1,1,12,0.08,0,0,NA,NA,NA,0,42,185,3,0,240,-280
Adlan Amagov,2,0,80,26.5,62.5,0.42,3,5.5,0.55,NA,NA,1,240,170,0.5,1.5,175,-190
Adriano Martins,2,3,83,15.6,37.6,0.41,0.6,0.8,0.75,0.25,32,1,207,155,1.4,3.8,37,-88
Aiemann Zahabi,1,2,121,39.33,99.67,0.39,0.33,2,0.17,NA,NA,1,239.33,135,1,5.33,-95,66.67
Aisling Daly,2,1,268,34,65.33,0.52,1.67,4,0.42,1.5,839.5,0,297.67,115,1.67,4,-131.67,105
Akbarh Arreola,1,2,127,22.33,47,0.48,0.33,0.33,1,NA,NA,2,237.33,155,3,7.33,-488.33,355
Akira Corassani,3,3,155,23.17,51.17,0.45,0.33,1.17,0.29,0,77.5,0,177.33,145,2,4.67,-43,-20.33
Al Iaquinta,9,4,793,58.15,143.31,0.41,0.62,3.31,0.19,0.43,100.5,7,231.85,155,3.62,3.62,-202.69,142.31
Alan Belcher,3,2,169,21.4,61,0.35,0.2,0.8,0.25,1,298,0,252.4,185,4,5.6,-92.6,76.6
Alan Jouban,7,5,550,41.25,82.25,0.5,0.33,0.67,0.5,0,73.09,9,210,170,3.33,6.42,-70.83,29.17
Alan Omer,0,2,154,46.5,83.5,0.56,1.5,3.5,0.43,NA,NA,0,200.5,145,2.5,3.5,22.5,-42.5
Alan Patrick,5,2,373,22.57,52.14,0.43,3.14,7.71,0.41,0.5,613.33,1,249.43,155,1.71,2.86,-96.43,62.14
Albert Morales,1,4,299,39.8,114.6,0.35,0.6,1.4,0.43,0,246,0,230,135,0.4,1.8,-108,74
Albert Tumenov,4,2,163,26.67,65.33,0.41,0,0.5,0,0,6,5,191.67,170,1.83,5.33,38.33,-70
Alberto Mina,3,1,165,32.75,84,0.39,1.25,6,0.21,0,127,3,233.5,170,3,5.5,-86.25,66.25
Alberto Uda,0,2,49,9.5,18,0.53,1,2,0.5,0,295,0,168,185,3.5,6.5,127.5,-147.5
Alejandro Perez,6,3,450,33.89,94,0.36,0.22,1.67,0.13,0,82.3,0,231,135,2,4.89,-16.11,-27.22
Aleksa Camur,1,0,88,80,165,0.48,1,2,0.5,NA,NA,0,300,205,0,7,-115,105
