event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC Fight Night: Ribas vs. Namajunas,Amanda Ribas,Rose Namajunas,Blue,Women's Flyweight,0,Women,Decision - Unanimous,5,5,300,Jason Herzog,0,83,270,0.3,137,342,0.4,4,8,0.5,0,0,98,12,5,30,160.02,56.7,167.64,Orthodox,4.63,3.4,0.4,0.51,0.61,0.85,0.7,2.07,0,93,188,0.49,169,281,0.6,1,3,0.33,0,1,419,13,6,31,165.1,56.7,165.1,Orthodox,3.69,3.51,0.41,0.47,0.63,0.59,0.5,1.38,0,-10,82,-0.19,-32,61,-0.2,3,5,0.17,0,-1,-321,-1,-1,-1,-5.08,0,2.54,0.94,-0.11,-0.01,0.04,-0.02,0.26,0.2,0.69
UFC Fight Night: Ribas vs. Namajunas,Karl Williams,Justin Tafa,Red,Heavyweight,0,Men,Decision - Unanimous,3,3,300,Herb Dean,0,40,61,0.65,123,176,0.7,7,12,0.58,1,0,631,10,1,34,190.5,106.59,200.66,Orthodox,2.87,1.7,0.52,0.5,0.6,1,0.2,4.75,0,21,43,0.48,27,50,0.54,0,0,0,0,0,0,7,4,30,182.88,119.75,187.96,Southpaw,4.09,5.02,0.54,0,0.47,0.5,0,0,0,19,18,0.17,96,126,0.16,7,12,0.58,1,0,631,3,-3,4,7.62,-13.16,12.7,-1.22,-3.32,-0.02,0.5,0.13,0.5,0.2,4.75
UFC Fight Night: Ribas vs. Namajunas,Edmen Shahbazyan,AJ Dobson,Red,Middleweight,0,Men,KO/TKO,1,3,273,Mark Smith,1,27,43,0.62,31,51,0.61,1,3,0.33,0,0,49,13,4,26,187.96,83.91,190.5,Orthodox,3.6,4.09,0.52,0.38,0.45,0.63,0.6,2.24,0,15,46,0.32,20,54,0.37,0,0,0,0,1,75,7,3,32,185.42,83.91,193.04,Orthodox,4.29,5.31,0.46,0.75,0.46,0.65,0.3,1.67,1,12,-3,0.3,11,-3,0.24,1,3,0.33,0,-1,-26,6,1,-6,2.54,0,-2.54,-0.69,-1.22,0.06,-0.37,-0.01,-0.02,0.3,0.57
UFC Fight Night: Ribas vs. Namajunas,Payton Talbott,Cameron Saaiman,Red,Bantamweight,0,Men,KO/TKO,2,3,21,Chris Tognoni,1,79,129,0.61,83,135,0.61,0,1,0,0,0,30,8,0,25,177.8,61.23,177.8,Switch,8.05,3.58,0.54,0,0.51,0.9,0.5,0,0,31,64,0.48,33,66,0.5,0,3,0,0,0,0,9,2,23,172.72,61.23,170.18,Southpaw,5.32,4.18,0.46,0.28,0.51,0.47,0.7,0.91,1,48,65,0.13,50,69,0.11,0,-2,0,0,0,30,-1,-2,2,5.08,0,7.62,2.73,-0.6,0.08,-0.28,0,0.43,-0.2,-0.91
UFC Fight Night: Ribas vs. Namajunas,Billy Quarantillo,Youssef Zalal,Blue,Featherweight,0,Men,Submission,2,3,110,Herb Dean,0,10,50,0.2,26,74,0.35,0,0,0,0,0,21,18,6,35,177.8,65.77,177.8,Orthodox,7.36,5.57,0.56,0.23,0.43,0.61,1.1,1.24,0,33,56,0.58,37,62,0.6,2,2,1,2,0,175,14,5,27,177.8,65.77,182.88,Switch,2.88,1.73,0.49,0.34,0.65,0.6,1.3,2.28,0,-23,-6,-0.38,-11,12,-0.25,-2,-2,-1,-2,0,-154,4,1,8,0,0,-5.08,4.48,3.84,0.07,-0.11,-0.22,0.01,-0.2,-1.04
UFC Fight Night: Ribas vs. Namajunas,Fernando Padilla,Luis Pajuelo,Red,Featherweight,0,Men,Submission,1,3,165,Jason Herzog,1,34,61,0.55,35,64,0.55,0,0,0,1,0,47,16,5,27,185.42,65.77,193.04,Orthodox,6.48,5.25,0.42,0,0.53,1,0.8,0,0,5,13,0.38,7,15,0.47,0,0,0,0,0,0,8,2,29,177.8,65.77,175.26,Orthodox,6.03,8.2,0.57,0,0.52,0.66,0,0,1,29,48,0.17,28,49,0.08,0,0,0,1,0,47,8,3,-2,7.62,0,17.78,0.45,-2.95,-0.15,0,0.01,0.34,0.8,0
UFC Fight Night: Ribas vs. Namajunas,Kurt Holobaugh,Trey Ogden,Blue,Lightweight,0,Men,Decision - Unanimous,3,3,300,Mark Smith,0,29,68,0.42,129,188,0.69,0,0,0,0,0,10,21,8,37,180.34,70.31,177.8,Orthodox,4.37,4.07,0.43,0.36,0.48,0.46,0.9,0.71,0,35,66,0.53,225,320,0.7,3,4,0.75,0,0,669,17,6,34,180.34,70.31,182.88,Orthodox,3.38,3.59,0.47,0.23,0.58,1,0.6,1.64,0,-6,2,-0.11,-96,-132,-0.01,-3,-4,-0.75,0,0,-659,4,2,3,0,0,-5.08,0.99,0.48,-0.04,0.13,-0.1,-0.54,0.3,-0.93
UFC Fight Night: Ribas vs. Namajunas,Ricardo Ramos,Julian Erosa,Blue,Featherweight,0,Men,Submission,1,3,135,Chris Tognoni,0,7,17,0.41,12,23,0.52,2,3,0.66,0,0,87,16,6,28,175.26,65.77,182.88,Orthodox,3.21,3.74,0.37,0.6,0.57,0.72,0.7,3.02,0,4,11,0.36,11,21,0.52,0,0,0,1,0,0,29,12,34,185.42,65.77,187.96,Southpaw,6.14,6.29,0.48,0.46,0.47,0.58,0.8,1.63,0,3,6,0.05,1,2,0,2,3,0.66,-1,0,87,-13,-6,-6,-10.16,0,-5.08,-2.93,-2.55,-0.11,0.14,0.1,0.14,-0.1,1.39
UFC Fight Night: Ribas vs. Namajunas,Miles Johns,Cody Gibson,Red,Bantamweight,0,Men,Decision - Unanimous,3,3,300,Herb Dean,0,25,79,0.31,64,137,0.47,2,8,0.25,0,1,389,14,2,29,170.18,61.23,167.64,Orthodox,3.28,2.55,0.47,0.22,0.68,0.85,0,1.15,0,18,62,0.29,52,108,0.48,1,7,0.14,0,0,115,20,10,36,177.8,61.23,180.34,Orthodox,4,4.08,0.43,0.28,0.57,0.68,0.2,1.28,0,7,17,0.02,12,29,-0.01,1,1,0.11,0,1,274,-6,-8,-7,-7.62,0,-12.7,-0.72,-1.53,0.04,-0.06,0.11,0.17,-0.2,-0.13
UFC Fight Night: Ribas vs. Namajunas,Jarno Errens,Steven Nguyen,Red,Featherweight,0,Men,Decision - Unanimous,3,3,300,Mark Smith,1,105,207,0.5,106,208,0.51,0,1,0,0,0,12,14,5,29,180.34,65.77,185.42,Orthodox,3.44,3.36,0.46,0,0.63,0.28,0.3,0,0,63,226,0.27,63,227,0.28,1,1,1,0,0,23,9,2,30,180.34,65.77,185.42,Switch,7.15,7.36,0.4,1,0.6,0.84,0,0.28,1,42,-19,0.23,43,-19,0.23,-1,0,-1,0,0,-11,5,3,-1,0,0,0,-3.71,-4,0.06,-1,0.03,-0.56,0.3,-0.28
