event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height_in_cm,b_weight_in_kg,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,R_odds,B_odds,location,country,r_total_fights,b_total_fights,age_differential,experience_differential,reach_advantage_diff_in_cm,winner_name,weight_class_numeric,age_difference,experience_diff,reach_advantage_diff
UFC Fight Night: Lee vs. Oliveira,Kevin Lee,Charles Oliveira,Blue,Lightweight,0,Men,Submission,3,5,28,Mike Beltran,0,41,80,0.51,61,100,0.61,2,3,0.66,0,1,390,18,8,31,175.26,77.11,195.58,Orthodox,3.88,3.6,0.42,0.43,0.5,0.75,0.8,3.18,0,43,65,0.66,51,73,0.7,0,1,0,2,1,11,34,9,34,177.8,70.31,187.96,Orthodox,3.54,3.19,0.53,0.4,0.51,0.55,2.7,2.32,0,-2,15,-0.15,10,27,-0.09,2,2,0.66,-2,0,379,-16,-1,-3,-2.54,6.8,7.62,0.34,0.41,-0.11,0.03,-0.01,0.2,-1.9,0.86,3/14/2020,-145,135,"Brasilia, Distrito Federal, Brazil",Brazil,8,10,3,4,7.62,Charles Oliveira,155,3,2,7.62
UFC Fight Night: Lee vs. Oliveira,Demian Maia,Gilbert Burns,Blue,Welterweight,0,Men,KO/TKO,1,3,154,Osiris Maia,0,4,7,0.57,4,7,0.57,2,2,1,0,0,83,28,11,46,185.42,77.11,182.88,Southpaw,1.8,2.07,0.43,0.24,0.63,0.61,1,2.49,1,13,16,0.81,14,17,0.82,0,0,0,0,0,4,22,7,37,177.8,77.11,180.34,Orthodox,3.29,3.42,0.48,0.38,0.54,0.5,0.5,2.24,-1,-9,-9,-0.24,-10,-10,-0.25,2,2,1,0,0,79,6,4,9,7.62,0,2.54,-1.49,-1.35,-0.05,-0.14,0.09,0.11,0.5,0.25,3/14/2020,160,-170,"Brasilia, Distrito Federal, Brazil",Brazil,11,3,9,8,2.54,Gilbert Burns,170,9,8,2.54
UFC Fight Night: Lee vs. Oliveira,Renato Moicano,Damir Hadzovic,Red,Lightweight,0,Men,Submission,1,3,44,Eduardo Herdy,0,1,2,0.5,4,5,0.8,1,1,1,1,0,25,18,5,34,180.34,70.31,182.88,Orthodox,4.41,3.8,0.47,0.47,0.6,0.72,0.6,1.8,0,1,5,0.2,1,5,0.2,0,0,0,0,0,0,14,7,37,175.26,70.31,177.8,Orthodox,3.36,3.26,0.48,0.55,0.62,0.34,0.2,0.78,0,0,-3,0.3,3,0,0.6,1,1,1,1,0,25,4,-2,-3,5.08,0,5.08,1.05,0.54,-0.01,-0.08,-0.02,0.38,0.4,1.02,3/14/2020,-345,315,"Brasilia, Distrito Federal, Brazil",Brazil,1,1,3,1,5.08,Renato Moicano,155,3,0,5.08
UFC Fight Night: Lee vs. Oliveira,Johnny Walker,Nikita Krylov,Blue,Light Heavyweight,0,Men,Decision - Unanimous,3,3,300,Mike Beltran,0,37,50,0.74,91,112,0.81,0,0,0,0,1,145,21,8,31,198.12,92.99,208.28,Orthodox,3.81,2.83,0.53,1,0.44,0.57,0.9,0.46,0,45,58,0.77,128,148,0.86,3,8,0.37,0,1,680,30,9,32,190.5,92.99,195.58,Orthodox,4.38,2.47,0.55,0.38,0.44,0.53,1.4,2.29,0,-8,-8,-0.03,-37,-36,-0.05,-3,-8,-0.37,0,0,-535,-9,-1,-1,7.62,0,12.7,-0.57,0.36,-0.02,0.62,0,0.04,-0.5,-1.83,3/14/2020,-137,127,"Brasilia, Distrito Federal, Brazil",Brazil,3,3,1,0,12.7,Nikita Krylov,205,1,0,12.7
UFC Fight Night: Lee vs. Oliveira,Francisco Trinaldo,John Makdessi,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Osiris Maia,0,55,126,0.43,55,126,0.44,0,1,0,0,0,0,28,9,45,175.26,77.11,177.8,Southpaw,3.13,2.67,0.45,0.42,0.6,0.6,0.5,0.98,0,67,123,0.54,68,124,0.55,0,0,0,0,0,0,18,9,38,172.72,70.31,172.72,Orthodox,5.52,4.15,0.49,0,0.68,0.86,0,0,0,-12,3,-0.11,-13,2,-0.11,0,1,0,0,0,0,10,0,7,2.54,6.8,5.08,-2.39,-1.48,-0.04,0.42,-0.08,-0.26,0.5,0.98,3/14/2020,-160,150,"Brasilia, Distrito Federal, Brazil",Brazil,8,6,7,2,5.08,Francisco Trinaldo,155,7,2,5.08
UFC Fight Night: Lee vs. Oliveira,Jussier Formiga,Brandon Moreno,Blue,Flyweight,0,Men,Decision - Unanimous,3,3,300,Eduardo Herdy,0,15,32,0.46,61,81,0.75,1,9,0.11,1,1,253,23,8,38,165.1,56.7,170.18,Orthodox,1.42,2.34,0.39,0.35,0.64,0.87,0.6,1.82,0,33,82,0.4,94,147,0.64,0,2,0,0,1,225,21,8,30,170.18,56.7,177.8,Orthodox,3.87,3.63,0.44,0.46,0.59,0.63,0.5,1.74,0,-18,-50,0.06,-33,-66,0.11,1,7,0.11,1,0,28,2,0,8,-5.08,0,-7.62,-2.45,-1.29,-0.05,-0.11,0.05,0.24,0.1,0.08,3/14/2020,-150,140,"Brasilia, Distrito Federal, Brazil",Brazil,5,2,8,3,-7.62,Brandon Moreno,125,8,3,-7.62
UFC Fight Night: Lee vs. Oliveira,Amanda Ribas,Randa Markos,Red,Women's Strawweight,0,Women,Decision - Unanimous,3,3,300,Camila Albuquerque,0,85,159,0.53,173,254,0.68,1,3,0.33,2,1,445,12,5,30,160.02,56.7,167.64,Orthodox,4.63,3.4,0.4,0.51,0.61,0.85,0.7,2.07,0,36,77,0.46,56,99,0.57,1,1,1,0,0,60,11,12,38,162.56,52.16,160.02,Orthodox,2.97,3.1,0.43,0.28,0.58,0.52,0.2,1.12,0,49,82,0.07,117,155,0.11,0,2,-0.67,2,1,385,1,-7,-8,-2.54,4.54,7.62,1.66,0.3,-0.03,0.23,0.03,0.33,0.5,0.95,3/14/2020,-345,315,"Brasilia, Distrito Federal, Brazil",Brazil,1,5,8,4,7.62,Amanda Ribas,115,8,4,7.62
UFC Fight Night: Lee vs. Oliveira,Mayra Bueno Silva,Maryna Moroz,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3,300,Camila Albuquerque,0,88,146,0.6,92,150,0.61,0,0,0,0,0,45,10,3,32,167.64,61.23,167.64,Orthodox,3.84,4.86,0.57,0.38,0.53,0.68,1.6,0.68,0,139,247,0.56,176,298,0.59,2,8,0.25,0,0,269,11,6,32,170.18,56.7,170.18,Orthodox,4.42,4.89,0.33,0.24,0.51,0.42,0.6,0.7,0,-51,-101,0.04,-84,-148,0.02,-2,-8,-0.25,0,0,-224,-1,-3,0,-2.54,4.53,-2.54,-0.58,-0.03,0.24,0.14,0.02,0.26,1,-0.02,3/14/2020,-140,130,"Brasilia, Distrito Federal, Brazil",Brazil,0,1,0,1,-2.54,Maryna Moroz,125,0,1,-2.54
UFC Fight Night: Lee vs. Oliveira,Bruno Silva,David Dvorak,Blue,Flyweight,0,Men,Decision - Unanimous,3,3,300,Julio Catarino,0,45,97,0.46,60,112,0.54,3,11,0.27,0,0,91,13,5,34,162.56,56.7,165.1,Orthodox,3.05,3.09,0.46,0.3,0.59,0.64,0.3,2.57,0,67,133,0.5,92,161,0.57,0,1,0,0,2,73,20,6,31,165.1,56.7,172.72,Orthodox,3.48,3.29,0.43,0.3,0.59,0.7,0.2,0.58,0,-22,-36,-0.04,-32,-49,-0.03,3,10,0.27,0,-2,18,-7,-1,3,-2.54,0,-7.62,-0.43,-0.2,0.03,0,0,-0.06,0.1,1.99,3/14/2020,-110,100,"Brasilia, Distrito Federal, Brazil",Brazil,0,0,3,0,-7.62,David Dvorak,125,3,0,-7.62
UFC 248: Adesanya vs. Romero,Israel Adesanya,Yoel Romero,Red,Middleweight,1,Men,Decision - Unanimous,5,5,300,Dan Miragliotta,0,48,132,0.36,48,132,0.36,0,0,0,0,0,0,24,3,34,193.04,83.91,203.2,Switch,3.93,3.11,0.48,0.14,0.56,0.77,0.1,0.05,0,40,89,0.44,40,89,0.45,0,3,0,0,0,0,13,5,46,182.88,83.91,185.42,Southpaw,3.44,3.05,0.49,0.3,0.6,0.78,0,1.57,0,8,43,-0.08,8,43,-0.09,0,-3,0,0,0,0,11,-2,-12,10.16,0,17.78,0.49,0.06,-0.01,-0.16,-0.04,-0.01,0.1,-1.52,3/7/2020,-260,240,"Las Vegas, Nevada, USA",USA,4,4,12,0,17.78,Israel Adesanya,185,12,0,17.78
